Series,S,Years,Link,Country,Runtime,tags,Show Description,Youtube link,Episodes count,Netflix,Prime Video,Hulu,Disney+,Apple TV+,CBS All Access,Dish Network,Sling TV,NOW TV,Philo,AMC Network,AT & T TV                                                   ,Peacock TV,DIRECTV Stream,ESPN+,Paramount+,ROKU,Showtime,Starz,Vidgo,Xfinity
Grey’s Anatomy,19,2005– ,https://www.imdb.com/title/tt0413573/?ref_=tt_ov_inf,United States,43,"drama, romance, medical drama, hospital, 2000s, 2010s, 2020s, usa, christmas, thanksgiving, halloween, valentine's","Medical professionals at Seattle Grace Hospital experience love, loss, and everything in between while balancing their personal and professional lives.",,"The show aired 4 Christmas episodes, 2 Thanksgiving episodes, 4 Halloween episodes, and 3 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
How I met your mother,9,2005–2014,https://www.imdb.com/title/tt0460649/?ref_=tt_ov_inf,United States,22,"comedy, romance, drama, sitcom, 2000s, 2010s, usa, christmas, thanksgiving, halloween, valentine's",Follow the hilarious and heartfelt antics of five friends in New York City as one of them navigates his way through the ups and downs of finding love.,,"The show aired 7 Christmas episodes, 5 Thanksgiving episodes, 2 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Seinfeld,9,1989–1998,https://www.imdb.com/title/tt0098904/?ref_=tt_ov_inf,United States,22,"comedy, sitcom, 90s, usa, christmas, thanksgiving",Join comedian Jerry Seinfeld and his quirky group of friends in New York City as they encounter hilarious situations and navigate the absurdities of everyday life.,,"The show aired 5 Christmas episodes, and 1 Thanksgiving episode.",,,,,,,,,,,,,,,,,,,,,
Two and a Half Men,12,2003–2015,https://www.imdb.com/title/tt0369179/?ref_=tt_ov_inf,United States,22,"comedy, sitcom, 2000s, 2010s, usa, christmas, halloween, thanksgiving, valentine's","This sitcom follows the lives of two brothers, one a carefree bachelor and the other a divorced father, as they raise the latter's son together.",,"The show aired 7 Christmas episodes, 1 Thanksgiving episode, 2 Halloween episodes, and 3 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Gilmore Girls,7,2000–2007,https://www.imdb.com/title/tt0238784/?ref_=nv_sr_srsg_0,United States,43,"comedy, drama, 2000s, usa, christmas, thanksgiving, valentine's", A witty and heartwarming dramedy about a mother-daughter duo navigating life in a charming New England town.,,"The show aired 4 Christmas episodes, 2 Thanksgiving episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
The X-files,11,1993–2018,https://www.imdb.com/title/tt0106179/?ref_=nv_sr_srsg_0,United States,43,"sci-fi, drama, mystery, crime, horror, 90s, 2000s, 2010s, usa, christmas, halloween",FBI agents Fox Mulder and Dana Scully investigate paranormal phenomena and government conspiracies while uncovering the truth behind extraterrestrial life.,,"The show aired 2 Christmas episodes, and 1 Halloween episode.",,"The truth is out there, and so are the X-Files' holiday episodes. Follow Mulder and Scully on their supernatural investigations during the holiday season with our comprehensive list of holiday-themed episodes. Don't miss out on the most thrilling holiday episodes from one of the most iconic TV series of all time. Check out our X-Files page now.",,,,,,,,,,,,,,,,,,,
This Is Us,6,2016–2022,https://www.imdb.com/title/tt5555260/?ref_=fn_al_tt_1,United States,45,"drama, romance, 2010s, 2020s, usa, christmas, thanksgiving, valentine's, halloween","The Pearson family's story spans time, as they navigate challenges and relationships. With a unique storytelling style that blends past and present, the show navigates life's ups and downs.",,"The show aired 1 Christmas episode, 4 Thanksgiving episodes, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Happy Days,11,1974–1984,https://www.imdb.com/title/tt0070992/?ref_=nv_sr_srsg_0,United States,22,"comedy, family, sitcom, music, 70s, 80s, usa, christmas, thanksgiving, valentine's, halloween","A classic sitcom set in the 1950s, following the lives of high school students and their families in Milwaukee.",,"The show aired 4 Christmas episodes, 1 Thanksgiving episode, 3 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
The Golden Girls,7,1985–1992,https://www.imdb.com/title/tt0088526/?ref_=nv_sr_srsg_0,United States,22,"comedy, drama, family, sitcom, 80s, 90s, usa, christmas, valentine's","A beloved sitcom about four older women who share a home in Miami, filled with laughter, love, and a lot of cheesecake.",,"The show aired 2 Christmas episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
"Murder, She Wrote",12,1984–1996,https://www.imdb.com/title/tt0086765/?ref_=nv_sr_srsg_0,United States,43,"drama, crime, mystery, 80s, 90s, usa, christmas",A classic mystery series starring Angela Lansbury as a sharp-witted author who solves crimes in her small hometown and beyond.,,The show aired 1 Christmas episode.,,,,,,,,,,,,,,,,,,,,,
Ted Lasso,2,2020–,https://www.imdb.com/title/tt10986410/?ref_=fn_al_tt_1,United States,30,"comedy, drama, sport, 2020s, usa, christmas, ",A heartwarming and hilarious comedy about a small-time American football coach who moves to England to coach a struggling Premier League soccer team.,,The show aired 1 Christmas episode,,,,,,,,,,,,,,,,,,,,,
Glee,6,2009–2015,https://www.imdb.com/title/tt1327801/?ref_=nv_sr_srsg_0,United States,43,"comedy, drama, music, 2010s, usa, christmas, thanksgiving, valentine's, halloween","A musical dramedy about a high school glee club and their journey to national fame, tackling social issues and personal struggles along the way.",,"The show aired 4 Christmas episodes, 1 Thanksgiving episode, 1 Halloween episode, and 3 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Buffy the Vampire Slayer,7,1997–2003,https://www.imdb.com/title/tt0118276/?ref_=nv_sr_srsg_0,United States,43,"fantasy, action, drama, romance, 90s, 2000s, usa, christmas, thanksgiving, valentine's, halloween", Follow Buffy Summers as she balances being a teenage girl and the chosen one who must fight supernatural forces to save the world.,,"The show aired 1 Christmas episode, 1 Thanksgiving episode, 2 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Downton Abbey,6,2010–2015,https://www.imdb.com/title/tt1606375/?ref_=nv_sr_srsg_0,United States,55,"drama, romance, 2010s, 2020s, uk, christmas","Set in the early 1900s, this period drama follows the lives of the aristocratic Crawley family and their servants as they navigate the changing times and societal shifts in England.",,The show aired 4 Christmas episodes.,,,,,,,,,,,,,,,,,,,,,
Mad Men,7,2007–2015,https://www.imdb.com/title/tt0804503/?ref_=fn_al_tt_1,United States,47,"drama, 2000s, 2010s, usa, christmas, valentine's","Set in the 1960s, Mad Men takes us into the world of advertising on Madison Avenue, New York City. The series follows the personal and professional lives of the men and women who work at the Sterling Cooper ad agency.",,"The show aired 4 Christmas episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Everybody Loves Raymond,9,1996–2005,https://www.imdb.com/title/tt0115167/?ref_=nv_sr_srsg_0,United States,23,"comedy, family, sitcom, 90s, 2000s, usa, christmas, thanksgiving, valentine's, halloween","Follow the Barones, a dysfunctional family in Long Island, as they navigate their relationships with each other and their quirky personalities.",,"The show aired 8 Christmas episodes, 6 Thanksgiving episodes, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Everybody Hates Chris,4,2005–2009,https://www.imdb.com/title/tt0460637/?ref_=nv_sr_srsg_0,United States,22,"comedy, drama, family, 2000s, sitcom, usa, christmas, thanksgiving, valentine's, halloween, new year",Follow young Chris as he navigates the challenges of growing up in Brooklyn during the 1980s.,,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, 1 Halloween episode, 1 New Year, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Evening Shade,4,1990–1994,https://www.imdb.com/title/tt0098790/?ref_=nv_sr_srsg_0,United States,30,"comedy, family, sitcom, 90s, usa, christmas, thanksgiving, halloween","In the small town of Evening Shade, Arkansas, former NFL player Woodrow ""Coach"" Ellison adjusts to life as a high school football coach.",,"The show aired 2 Christmas episodes, 1 Thanksgiving episode, and 1 Halloween episode",,,,,,,,,,,,,,,,,,,,,
Ellen,5,1994–1998,https://www.imdb.com/title/tt0108761/?ref_=fn_al_tt_1,United States,22,"comedy, sitcom, romance, 90s, usa, christmas, thanksgiving, halloween","Comedian Ellen DeGeneres stars in this sitcom as a bookstore owner juggling relationships, work, and life with her quirky group of friends.",,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, and 1 Halloween episode.",,,,,,,,,,,,,,,,,,,,,
Full House,8,1987–1995,https://www.imdb.com/title/tt0092359/?ref_=vp_close,United States,22,"comedy, drama, family, sitcom, 80s, 90s, usa, christmas, valentine's, thanksgiving, new year","After the loss of his wife, Danny Tanner enlists the help of his brother-in-law and best friend to raise his three daughters in this heartwarming family sitcom.",,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, 1 New Year, and 2 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Grace Under Fire,5,1993–1998,https://www.imdb.com/title/tt0106017/?ref_=nv_sr_srsg_0,United States,22,"comedy, romance, sitcom, 90s, usa, christmas, valentine's, thanksgiving, halloween","Grace navigates the challenges of single motherhood, addiction recovery, and a new job in this '90s sitcom.",,"The show aired 5 Christmas episodes, 2 Thanksgiving episodes, 2 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Gossip Girl,6,2007–2012,https://www.imdb.com/title/tt0397442/?ref_=nv_sr_srsg_3,United States,43,"drama, romance, 2010s, 2000s, usa, christmas, thanksgiving, valentine's","In the exclusive world of Manhattan's elite, the anonymous blogger Gossip Girl dishes the dirt on the scandalous lives of the city's privileged youth.",,"The show aired 1 Christmas episode, 4 Thanksgiving episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Gimme a Break!,6,1981–1987,https://www.imdb.com/title/tt0081869/?ref_=nv_sr_srsg_0,United States,30,"comedy, family, sitcom, 80s, usa, christmas, valentine's","When widowed police chief Carl Kanisky hires Nell Harper as a live-in housekeeper, she becomes a surrogate mother to his three daughters in this '80s sitcom.",,"The show aired 4 Christmas episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
George Lopez,6,2002–2007,https://www.imdb.com/title/tt0310460/?ref_=nv_sr_srsg_0,United States,22,"comedy, family, drama, 2000s, sitcom, usa, christmas, thanksgiving, valentine's, halloween","A warm and funny family sitcom that explores the life of a Mexican-American family in Los Angeles, led by the hilarious and lovable George Lopez.",,"The show aired 4 Christmas episodes, 1 Thanksgiving episode, 2 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Hope & Faith,3,2003–2006,https://www.imdb.com/title/tt0366025/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, family, 2000s, usa, christmas, thanksgiving, valentine's, halloween","A charming family comedy about two sisters, one a stay-at-home mom and the other a washed-up soap star, who move in together with their families in suburban Connecticut.",,"The show aired 3 Christmas episodes, 2 Thanksgiving episodes, 2 Halloween episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Home Improvement,8,1991–1999,https://www.imdb.com/title/tt0101120/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, family, 90s, usa, christmas, thanksgiving, valentine's, halloween","Join Tim ""The Tool Man"" Taylor and his family as they navigate the ups and downs of life, love, and home renovation in this classic 90s sitcom.",,"The show aired 9 Christmas episodes, 2 Thanksgiving episodes, 5 Halloween episodes, and 2 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Happy Endings,3,2011–2020,https://www.imdb.com/title/tt1587678/?ref_=nv_sr_srsg_0,United States,22,"comedy, romance, 2010s, usa, christmas, thanksgiving, halloween, valentine's",A clever and quirky ensemble comedy that follows a group of friends in Chicago as they deal with the aftermath of a failed wedding.,,"The show aired 2 Christmas episodes, 1 Thanksgiving episode, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Hangin' with Mr. Cooper,5,1992–1997,https://www.imdb.com/title/tt0103435/?ref_=nv_sr_srsg_0,United States,30,"comedy, sitcom, family, sport, 90s, usa, christmas, valentine's, halloween","A fun and lighthearted sitcom about a former NBA player turned high school coach who moves in with two female roommates in Oakland, California.",,"The show aired 4 Christmas episodes, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Cheers,11,1982–1993,https://www.imdb.com/title/tt0083399/?ref_=nv_sr_srsg_0,United States,22,"comedy, drama, sitcom, 80s, 90s, usa, christmas, thanksgiving, halloween","Set in the iconic Boston bar ""Cheers,"" this classic sitcom follows the colorful regulars and employees as they navigate life, love, and libations.",,"The show aired 2 Christmas episodes, 1 Thanksgiving episode, and 3 Halloween episodes.",,,,,,,,,,,,,,,,,,,,,
Caroline in the City,4,1995–1999,https://www.imdb.com/title/tt0111910/?ref_=nv_sr_srsg_0,United States,22,"comedy, romance, 90s, usa, christmas, thanksgiving, halloween",A witty and charming sitcom about a successful cartoonist in New York City who balances her career and her love life with the help of her quirky friends.,,"The show aired 5 Christmas episodes, 1 Thanksgiving episode, and 1 Halloween episode",,,,,,,,,,,,,,,,,,,,,
The Jamie Foxx Show,5,1996–2001,https://www.imdb.com/title/tt0115221/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, family, 90s, usa, christmas, thanksgiving, halloween","Comedian Jamie Foxx plays a struggling musician who takes a job at a hotel to pay the bills, leading to hilarious encounters with co-workers and guests.",,"The show aired 1 Christmas episode, 1 Thanksgiving episode, and 2 Halloween episodes",,,,,,,,,,,,,,,,,,,,,
The Jeffersons,11,1975–1985,https://www.imdb.com/title/tt0072519/?ref_=nv_sr_srsg_0,United States,30,"comedy, family, sitcom, 70s, 80s, usa, christmas, halloween","This classic sitcom follows the wealthy and opinionated George Jefferson as he moves his family from Queens to the Upper East Side, facing new challenges and characters along the way.",,"The show aired 5 Christmas episodes, and 2 Halloween episodes.",,,,,,,,,,,,,,,,,,,,,
Joey,2,2004–2006,https://www.imdb.com/title/tt0375355/?ref_=nv_sr_srsg_7,United States,22,"comedy, romance, sitcom, 2000s, usa, christmas, thanksgiving, valentine's","Joey Tribbiani from Friends moves to Los Angeles to pursue his acting career, but must navigate the ups and downs of Hollywood with the help of his sister and nephew.",,"The show aired 2 Christmas episodes, 1 Thanksgiving episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Just Shoot Me!,7,1997–2003,https://www.imdb.com/title/tt0118364/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, 90s, 2000s, usa, christmas, halloween, thanksgiving",A group of dysfunctional colleagues at a fashion magazine must deal with each other's quirks and conflicts in this witty workplace comedy.,,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, and 2 Halloween episodes.",,,,,,,,,,,,,,,,,,,,,
Kate & Allie,6,1984–1989,https://www.imdb.com/title/tt0086742/?ref_=nv_sr_srsg_0,United States,30,"comedy, sitcom, family, 80s, usa, christmas, thanksgiving, halloween, new year",Two divorced women and best friends move in together to raise their children and navigate the ups and downs of life and relationships.,,"The show aired 1 Christmas episode, 1 Thanksgiving episode, 1 Halloween episode, and 1 New Year episode.",,,,,,,,,,,,,,,,,,,,,
The King of Queens,9,1998–2007,https://www.imdb.com/title/tt0165581/?ref_=fn_al_tt_1,United States,22,"comedy, family, sitcom, 90s, 2000s, usa, christmas, halloween, thanksgiving, valentine's","Delivery driver Doug Heffernan and his wife Carrie navigate marriage, family, and work in this beloved sitcom set in Queens, New York.",,"The show aired 6 Christmas episodes, 5 Thanksgiving episodes, 1 Halloween episode, and 3 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Last Man Standing,9,2011–2021,https://www.imdb.com/title/tt1828327/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, family, 2010s, 2020s, usa, christmas, halloween, thanksgiving, valentine's",A conservative family man balances his home life and work as the marketing director of a sporting goods store in this family-friendly comedy.,,"The show aired 7 Christmas episodes, 2 Thanksgiving episodes, 5 Halloween episodes, and 2 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Laverne & Shirley,8,1976–1983,https://www.imdb.com/title/tt0074016/?ref_=nv_sr_srsg_0,United States,30,"comedy, sitcom, family, 70s, 80s, usa, christmas, new year","Two best friends and roommates work at a Milwaukee brewery, causing chaos and laughter in this classic '70s sitcom.",,"The show aired 2 Christmas episodes, and 1 New Year episode.",,,,,,,,,,,,,,,,,,,,,
Less Than Perfect,4,2002–2006,https://www.imdb.com/title/tt0320052/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, 2000s, usa, christmas, halloween, thanksgiving, valentine's",A quirky and ambitious assistant at a TV network must navigate the drama and personalities of her coworkers while trying to climb the ladder.,,"The show aired 3 Christmas episodes, 2 Thanksgiving episodes, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Living Single,5,1993–1998,https://www.imdb.com/title/tt0106056/?ref_=nv_sr_srsg_0,United States,30,"comedy, sitcom, 90s, usa, christmas, halloween, thanksgiving, valentine's","Four successful and single women navigate life, work, and relationships in New York City in this groundbreaking '90s sitcom",,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, 1 Halloween episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
My Two Dads,3,1987–1990,https://www.imdb.com/title/tt0092410/?ref_=nv_sr_srsg_0,United States,30,"comedy, sitcom, family, 80s, usa, christmas, thanksgiving","After the death of their mutual friend, two men discover they are the legal guardians of his daughter and must raise her together in this heartwarming comedy.",,"The show aired 2 Christmas episodes, and 1 Thanksgiving episode.",,,,,,,,,,,,,,,,,,,,,
Murphy Brown,33,1988–2018,https://www.imdb.com/title/tt0094514/?ref_=nv_sr_srsg_00,United States,22,"comedy, sitcom, 80s, 90s, 2000s, 2010s, usa, christmas, thanksgiving, valentine's",The titular character is a strong-willed and successful journalist navigating the world of broadcast news in this Emmy-winning '90s sitcom.,,"The show aired 4 Christmas episodes, 2 Thanksgiving episodes, 2 New Year episodes, and 2 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Modern Family,11,2009–2020,https://www.imdb.com/title/tt1442437/?ref_=nv_sr_srsg_0,United States,22,"comedy, family, sitcom, 2010s, usa, christmas, halloween, thanksgiving, valentine's, new year","This mockumentary-style sitcom follows the lives of three interconnected families as they deal with parenting, marriage, and life in Los Angeles.",,"The show aired 7 Christmas episodes, 5 Thanksgiving episodes, 7 Halloween episodes, 5 Valentine's Day episodes, and 1 New Year episode.",,,,,,,,,,,,,,,,,,,,,
Melrose Place,7,1992–1999,https://www.imdb.com/title/tt0103491/?ref_=nv_sr_srsg_0,United States,43,"drama, romance, 90s, usa, christmas, thanksgiving, valentine's","A group of attractive young adults living in an apartment complex in Los Angeles navigate relationships, careers, and scandals in this iconic '90s drama.",,"The show aired 7 Christmas episodes, 2 Thanksgiving episodes, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
Married with Children,11,1987–1997,https://www.imdb.com/title/tt0092400/?ref_=nv_sr_srsg_0,United States,22,"comedy, family, sitcom, 80s, 90s, usa, christmas, thanksgiving, halloween, valentine's",This controversial '80s sitcom follows the dysfunctional Bundy family as they deal with each other and their hilariously mundane lives.,,"The show aired 7 Christmas episodes, 1 Thanksgiving episode, 1 Halloween episode, and 2 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Malcolm in the Middle,7,2000–2006,https://www.imdb.com/title/tt0212671/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, 2000s, usa, christmas, thanksgiving, halloween",A dysfunctional family with four unruly boys navigate life and growing up in this clever and irreverent sitcom.,,"The show aired 3 Christmas episodes, 1 Thanksgiving episode, and 2 Halloween episodes.",,,,,,,,,,,,,,,,,,,,,
The Office,9,2005–2013,https://www.imdb.com/title/tt0386676/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, mockumentary, 2000s, 2010s, usa, christmas, valentine's, halloween",This mockumentary-style workplace sitcom follows the daily lives of the employees at a paper company led by the quirky and clueless boss Michael Scott.,,"The show aired 7 Christmas episodes, 4 Halloween episodes, and 4 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
2 Broke Girls,6,2011–2017,https://www.imdb.com/title/tt1845307/?ref_=tt_tpks_tt_i_4_pd_tp1_pbr_ic,United States,22,"comedy, sitcom, 2010s, usa, christmas, thanksgiving","Two young women from different worlds work together at a diner in Brooklyn, dreaming of starting their own business and making it big.",,"The show aired 3 Christmas episodes, and 1 Thanksgiving episode.",,,,,,,,,,,,,,,,,,,,,
30 Rock,7,2006–2013,https://www.imdb.com/title/tt0496424/?ref_=nv_sr_srsg_0,United States,22,"comedy, sitcom, 2000s, 2010s, usa, christmas, valentine's","Liz Lemon is the head writer of sketch-comedy show. She juggles a new arrogant boss, a crazy star, and the show's success without losing her mind.",,"The show aired 4 Christmas episodes, and 5 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
3rd Rock from the Sun,6,1996–2001,https://www.imdb.com/title/tt0115082/?ref_=nv_sr_srsg_0,United States,22,"comedy, family, sci-fi, sitcom, 90s, 2000s, usa, christmas, thanksgiving, halloween, valentine's, new year",A group of aliens disguised as a human family must navigate life on Earth and blend in with humans.,,"The show aired 1 Christmas episode, 1 Thanksgiving episode, 1 Halloween episode, 1 New Year episode, and 1 Valentine's Day episode.",,,,,,,,,,,,,,,,,,,,,
The Sopranos,6,1999–2007,https://www.imdb.com/title/tt0141842/?ref_=fn_al_tt_1,United States,55,"crime, drama, 2000s, usa, christmas, thanksgiving",An emotionally conflicted New Jersey mob boss seeks therapy to cope with his personal and professional struggles.,,"The show aired 2 Christmas episodes, and 1 Thanksgiving episode.",,,,,,,,,,,,,,,,,,,,,
Dexter,8,2006–2013,https://www.imdb.com/title/tt0773262/?ref_=ttrel_ov,United States,53,"crime, drama, mystery, thriller, 2000s, 2010s, usa, christmas, thanksgiving","A thriller-drama series about a blood spatter analyst for the Miami police department who moonlights as a vigilante serial killer, targeting other killers who have escaped justice.",,"The show aired 1 Christmas episode, and 1 Thanksgiving episode.",,,,,,,,,,,,,,,,,,,,,
The Big Bang Theory,12,2007–2019,https://www.imdb.com/title/tt0898266/?ref_=nv_sr_srsg_0_tt_8_nm_0_q_The%2520Big%2520Bang%2520Theory,United States,22,"comedy, romance, sitcom, 2000s, 2010s, usa, christmas, halloween, thanksgiving, valentine's","The lives of two brilliant yet socially awkward physicists, Leonard and Sheldon, change when they meet their new neighbor, the beautiful and free-spirited Penny. ",,"The show aired 6 Christmas episodes, 2 Thanksgiving episodes, 4 Halloween episodes, and 4 Valentine's Day episodes.",,,,,,,,,,,,,,,,,,,,,
Dynasty,9,1981–1989,https://www.imdb.com/title/tt0081856/?ref_=fn_al_tt_2,United States,45,"drama, romance, 80s, usa, christmas","The show explores two oil-rich, powerful and feuding families in Denver, Colorado. Explore their personal and professional lives, filled with scandals, power struggles, and romances.",,The show aired 1 Christmas episode.,,,,,,,,,,,,,,,,,,,,,
